Position,Expression
3.83125,0.748031
3.83646,0.992126
3.84271,1
6.55938,0.992126
6.62917,0.976378
6.74479,0.968504
6.75104,0.96063
6.75625,0.952756
6.7625,0.944882
6.76875,0.96063
6.77396,0.944882
6.86146,0.937008
6.86667,0.929134
6.90208,0.92126
6.91354,0.913386
6.94792,0.905512
6.95417,0.913386
6.95937,0.897638
7.0125,0.889764
7.01771,0.88189
7.04167,0.889764
7.04688,0.88189
7.10521,0.874016
7.11667,0.866142
7.18021,0.850394
7.18646,0.866142
7.19167,0.858268
7.19792,0.850394
7.25625,0.84252
7.26146,0.850394
7.26771,0.834646
7.27292,0.84252
7.27917,0.834646
7.3375,0.818898
7.34896,0.826772
7.35417,0.818898
7.40104,0.811024
7.40729,0.80315
7.45312,0.787402
7.51667,0.779528
7.52292,0.787402
7.52917,0.771654
7.53437,0.779528
7.54063,0.771654
7.54583,0.779528
7.55208,0.771654
7.61042,0.76378
7.61562,0.755906
7.62188,0.76378
7.63333,0.755906
7.70312,0.740157
7.70833,0.748031
7.71458,0.740157
7.77292,0.732283
7.77813,0.740157
7.78437,0.724409
7.89479,0.708661
7.9,0.716535
7.90625,0.708661
7.92917,0.692913
7.96458,0.677165
7.96979,0.685039
7.97604,0.677165
8.03958,0.669291
8.04583,0.677165
8.05729,0.661417
8.0625,0.677165
8.06875,0.661417
8.20208,0.653543
8.20833,0.645669
8.21354,0.653543
8.21979,0.645669
8.23125,0.653543
8.2375,0.645669
8.24271,0.653543
8.24896,0.645669
8.26042,0.653543
8.26562,0.645669
8.27187,0.653543
8.29479,0.645669
8.30104,0.653543
8.32396,0.645669
8.49271,0.629921
8.49792,0.637795
8.50417,0.645669
8.53854,0.637795
8.55,0.629921
8.55625,0.637795
8.5625,0.629921
8.67188,0.614173
8.67812,0.629921
8.70104,0.614173
8.70729,0.622047
8.7125,0.614173
8.84062,0.606299
8.84688,0.614173
8.85833,0.606299
8.86354,0.614173
8.875,0.606299
8.8875,0.598425
8.89271,0.606299
8.91042,0.614173
8.91667,0.598425
8.92188,0.606299
8.92812,0.598425
9.06771,0.590551
9.07812,0.582677
9.13125,0.566929
9.13646,0.574803
9.14271,0.566929
9.20104,0.559055
9.20625,0.551181
9.33437,0.543307
9.34583,0.535433
9.59583,0.519685
9.67708,0.511811
9.68229,0.503937
9.72292,0.496063
9.74062,0.488189
9.83333,0.496063
9.83958,0.488189
9.84479,0.496063
9.85104,0.488189
9.91458,0.472441
9.92083,0.480315
9.92604,0.472441
9.94375,0.448819
9.95521,0.440945
10.0135,0.433071
10.0188,0.425197
10.025,0.433071
10.0312,0.425197
10.1062,0.417323
10.1125,0.409449
10.1406,0.393701
10.1875,0.377953
10.2344,0.370079
10.2396,0.362205
10.2458,0.370079
10.251,0.362205
10.3156,0.354331
10.3208,0.346457
10.3615,0.330709
10.3677,0.346457
10.3792,0.338583
10.3969,0.346457
10.4135,0.330709
10.4198,0.338583
10.425,0.330709
10.4313,0.338583
10.4427,0.330709
10.5188,0.314961
10.524,0.322835
10.5302,0.314961
10.5646,0.307087
10.5708,0.299213
10.6292,0.307087
10.6458,0.314961
10.7562,0.307087
10.7625,0.299213
10.7969,0.283465
10.8031,0.299213
10.8083,0.283465
10.8146,0.291339
10.8198,0.283465
10.826,0.291339
10.8323,0.283465
10.9708,0.275591
10.9823,0.283465
11.0062,0.275591
11.0115,0.267717
11.0177,0.275591
11.0292,0.267717
11.1917,0.275591
11.2031,0.267717
11.2146,0.275591
11.2208,0.267717
11.2385,0.275591
11.2438,0.267717
11.25,0.283465
11.2677,0.275591
11.2729,0.283465
11.3427,0.275591
11.349,0.267717
11.3833,0.275591
11.3948,0.267717
11.401,0.283465
11.4125,0.267717
11.4302,0.275591
11.4354,0.267717
11.4469,0.275591
11.4531,0.267717
11.5281,0.251969
11.5865,0.244094
11.5979,0.23622
11.6562,0.220472
11.6615,0.228346
11.6677,0.220472
11.7198,0.204724
11.7667,0.188976
11.7896,0.173228
11.8073,0.165354
11.825,0.15748
11.8417,0.165354
11.8531,0.15748
11.8823,0.141732
11.9115,0.125984
11.9292,0.110236
11.9406,0.0944882
11.9635,0.0787402
11.975,0.0708661
11.9812,0.0629921
11.9875,0.0472441
11.999,0.0314961
12.0042,0.015748
12.0104,0
