Position,Expression
3.82396,0.606299
3.83021,1
6.0875,0.992126
6.12812,0.976378
6.15729,0.96063
6.175,0.944882
6.18125,0.952756
6.18646,0.944882
6.25625,0.952756
6.26771,0.944882
6.31458,0.937008
6.32604,0.929134
6.34896,0.92126
6.35521,0.929134
6.36042,0.92126
6.37292,0.913386
6.41354,0.905512
6.41875,0.913386
6.425,0.897638
6.43021,0.905512
6.44167,0.897638
6.48854,0.889764
6.49479,0.88189
6.52292,0.866142
6.58125,0.850394
6.62188,0.834646
6.62812,0.850394
6.64479,0.84252
6.65104,0.834646
6.69167,0.818898
6.72083,0.811024
6.73229,0.80315
6.76146,0.795276
6.77292,0.80315
6.77917,0.787402
6.90625,0.795276
6.91771,0.787402
6.97604,0.771654
6.98229,0.779528
6.9875,0.771654
7.03437,0.779528
7.03958,0.771654
7.12083,0.755906
7.12708,0.76378
7.13333,0.755906
7.19062,0.748031
7.19688,0.755906
7.24271,0.748031
7.24896,0.755906
7.25521,0.748031
7.26042,0.740157
7.26667,0.755906
7.28333,0.748031
7.28958,0.755906
7.29583,0.748031
7.30729,0.755906
7.3125,0.740157
7.31875,0.748031
7.33021,0.755906
7.34167,0.740157
7.39375,0.748031
7.4,0.755906
7.48125,0.76378
7.48646,0.755906
7.50417,0.771654
7.51562,0.76378
7.52187,0.755906
7.55104,0.748031
7.55625,0.740157
7.58021,0.724409
7.60313,0.708661
7.60833,0.716535
7.61458,0.708661
7.62083,0.716535
7.62604,0.708661
7.64375,0.716535
7.65,0.708661
7.69583,0.692913
7.70208,0.708661
7.73646,0.692913
7.74792,0.700787
7.75417,0.692913
7.75938,0.700787
7.76562,0.692913
7.77187,0.700787
7.78854,0.692913
7.85833,0.700787
7.86979,0.708661
7.88125,0.716535
7.89375,0.724409
7.93438,0.732283
7.95729,0.740157
7.98646,0.732283
7.99167,0.740157
7.99792,0.732283
8.01562,0.724409
8.02708,0.732283
8.03229,0.724409
8.03854,0.732283
8.05,0.724409
8.18958,0.708661
8.21875,0.700787
8.22396,0.708661
8.23542,0.700787
8.24167,0.708661
8.24792,0.692913
8.25938,0.700787
8.26458,0.692913
8.31146,0.685039
8.31667,0.692913
8.32292,0.677165
8.32917,0.685039
8.33437,0.677165
8.38646,0.669291
8.41042,0.661417
8.45104,0.645669
8.45625,0.653543
8.4625,0.645669
8.51979,0.637795
8.52604,0.645669
8.53229,0.637795
8.5375,0.629921
8.55521,0.637795
8.56146,0.629921
8.57292,0.637795
8.57812,0.629921
8.59583,0.637795
8.60104,0.629921
8.65417,0.622047
8.65938,0.614173
8.7,0.606299
8.70625,0.598425
8.77604,0.582677
8.81042,0.566929
8.82188,0.574803
8.82812,0.566929
8.83333,0.574803
8.83958,0.582677
8.85729,0.566929
8.8625,0.574803
8.86875,0.566929
8.89167,0.559055
8.89792,0.551181
8.92083,0.535433
8.92708,0.551181
8.93229,0.535433
8.99583,0.527559
9.00208,0.535433
9.00833,0.519685
9.06042,0.511811
9.07188,0.519685
9.07708,0.511811
