Position,Expression
3.88646,0.00787402
3.89271,0.0708661
3.89792,0.11811
3.90417,0.133858
3.90937,0.149606
3.92083,0.15748
3.92708,0.165354
3.93333,0.173228
3.94479,0.181102
3.95,0.188976
3.96146,0.19685
3.96771,0.204724
3.98542,0.212598
3.99063,0.220472
4.01458,0.228346
4.01979,0.23622
4.0375,0.244094
4.04271,0.251969
4.07188,0.259843
4.07812,0.267717
4.125,0.275591
4.14167,0.283465
4.20521,0.291339
4.21146,0.299213
4.275,0.291339
4.28125,0.283465
4.40313,0.291339
4.42604,0.299213
4.46667,0.307087
4.47813,0.314961
4.49062,0.307087
4.49583,0.314961
4.61771,0.307087
4.62917,0.299213
4.85,0.291339
4.85625,0.283465
4.86146,0.291339
4.86771,0.283465
4.87292,0.291339
4.87917,0.283465
4.88542,0.291339
4.89062,0.283465
5.01875,0.291339
5.03021,0.283465
5.24479,0.291339
5.26771,0.283465
5.27396,0.299213
5.29688,0.291339
5.30833,0.283465
5.32604,0.291339
5.33229,0.283465
5.50625,0.291339
5.51771,0.283465
5.52396,0.291339
5.52917,0.283465
5.54688,0.291339
5.55833,0.283465
5.56979,0.291339
5.57604,0.283465
5.5875,0.291339
5.59271,0.283465
5.60521,0.291339
5.62812,0.299213
5.65729,0.291339
5.6625,0.299213
5.76146,0.307087
5.78437,0.299213
5.79063,0.307087
5.79583,0.299213
5.80833,0.307087
5.81354,0.314961
5.81979,0.307087
5.83125,0.299213
5.87188,0.307087
5.87708,0.299213
5.90104,0.307087
5.90625,0.299213
6.25521,0.307087
6.26667,0.314961
6.27813,0.299213
6.28437,0.314961
6.44688,0.307087
6.48125,0.314961
6.49271,0.307087
6.49896,0.314961
6.50417,0.307087
6.51042,0.299213
6.51667,0.314961
6.52187,0.299213
6.52813,0.307087
6.53333,0.314961
6.53958,0.307087
6.54479,0.299213
6.55104,0.307087
6.55729,0.299213
6.56875,0.307087
6.58021,0.299213
6.58542,0.307087
6.62604,0.314961
6.65,0.307087
6.65521,0.299213
6.67292,0.307087
6.67917,0.299213
6.68438,0.307087
6.69062,0.299213
