NominalPosition,DeltaPosition,DurationRatio,VelocityDelta
0.00000,0.00000,0.57917,0.04724
1.00000,-0.05208,0.54583,-0.08661
2.00000,-0.11458,0.76042,-0.14173
3.00000,-0.09167,0.60000,0.07874
4.00000,-0.12500,0.70833,0.02362
5.00000,-0.11458,0.64375,-0.06299
6.00000,-0.14792,0.71458,-0.11024
7.00000,-0.09167,0.71458,-0.11024
8.00000,-0.09375,0.82292,-0.03150
9.00000,-0.06667,0.75833,-0.03150
10.00000,-0.16250,0.83750,-0.25197
11.00000,-0.11250,0.65625,-0.06299
12.00000,-0.10208,0.80208,0.07087
13.00000,-0.05833,0.77708,0.08661
14.00000,-0.07708,0.77917,0.04724
15.00000,-0.07917,0.78125,0.07087
16.00000,-0.05833,0.73958,0.16535
17.00000,-0.08333,0.77917,0.19685
18.00000,-0.07708,0.76458,-0.03150
19.00000,-0.02500,0.66667,-0.19685
20.00000,-0.04375,0.77500,0.10236
21.00000,-0.05833,0.77083,0.02362
22.00000,-0.07500,0.83958,0.03937
23.00000,-0.03750,0.71250,0.03150
24.00000,-0.06667,0.76458,0.01575
25.00000,-0.04792,0.79583,0.09449
26.00000,-0.04375,0.76250,0.09449
27.00000,-0.03750,0.65833,0.01575
28.00000,-0.07083,0.77708,0.10236
29.00000,-0.03125,0.78542,0.13386
30.00000,-0.02708,0.70417,0.19685
31.00000,-0.06250,0.73125,0.02362
32.00000,-0.04792,0.69375,0.11811
33.00000,-0.07708,0.74375,0.10236
34.00000,-0.10625,0.72708,0.06299
35.00000,-0.05833,0.75000,0.05512
36.00000,-0.07708,0.69583,0.02362
37.00000,-0.12292,0.78333,-0.03150
38.00000,-0.11875,0.82292,0.06299
39.00000,-0.08125,0.68750,-0.03937
40.00000,-0.11875,0.75208,0.18110
41.00000,-0.04167,0.62292,0.09449
42.00000,-0.16250,0.83333,0.00000
43.00000,-0.09583,0.72083,0.20472
44.00000,-0.08958,0.70208,0.03937
45.00000,-0.12292,0.79167,0.14173
46.00000,-0.08542,0.84375,0.10236
47.00000,-0.01250,0.70833,0.22047
